id,theme_id,part,name,chance
1,1,1,Mega,5
2,1,1,Ostry,4
3,1,1,Sultan,5
4,1,1,Habibi,3
5,1,1,Szybki,4
6,1,1,Król,3
7,1,2,Kebab,10
8,1,2,Grill,3
9,1,2,Express,2
10,1,2,Dom,2
11,1,2,Pałac,1
12,2,1,Super,5
13,2,1,Mocny,3
14,2,1,Texas,4
15,2,1,Smash,5
16,2,1,Wielki,4
17,2,1,Soczysty,3
18,2,1,Król,4
19,2,2,Burger,10
20,2,2,Grill,4
21,2,2,Bułki,3
22,2,2,Kotlet,3
23,2,2,Dom,2
24,2,2,Bracia,2
25,3,1,Karczma,5
26,3,1,Gospoda,4
27,3,1,Stara,3
28,3,1,U,1
29,3,1,Pod,2
30,3,1,Złota,3
31,3,2,Polska,5
32,3,2,Chata,4
33,3,2,Babci,3
34,3,2,Szwejka,1
35,3,2,Kogutem,2
36,3,2,Orłem,2
37,4,1,Tokyo,5
38,4,1,Sake,4
39,4,1,Miso,3
40,4,1,Fuji,4
41,4,1,Sakura,5
42,4,1,Zen,3
43,4,2,Sushi,8
44,4,2,Bar,5
45,4,2,Dom,3
46,4,2,Ogród,2
47,4,2,Pałac,2
48,4,2,Express,2
49,5,1,Taj,5
50,5,1,Bombay,4
51,5,1,Delhi,4
52,5,1,Przyprawa,5
53,5,1,Curry,4
54,5,1,Królewski,3
55,5,2,Pałac,5
56,5,2,Dom,4
57,5,2,Kuchnia,4
58,5,2,Masala,3
59,5,2,Express,2
60,5,2,Tandoor,4
61,6,1,El,5
62,6,1,La,4
63,6,1,Loco,4
64,6,1,Picante,3
65,6,1,Rapido,3
66,6,1,Mucho,3
67,6,2,Taco,8
68,6,2,Burrito,4
69,6,2,Amigo,3
70,6,2,Mexicano,4
71,6,2,Sombrero,2
72,6,2,Fiesta,3
73,7,1,Le,5
74,7,1,La,5
75,7,1,Petit,4
76,7,1,Chez,4
77,7,1,Bonne,3
78,7,1,Belle,3
79,7,2,Bistro,6
80,7,2,Cafe,5
81,7,2,Paryż,4
82,7,2,Maison,3
83,7,2,Prowansja,3
84,7,2,Jardin,2
85,8,1,Pryma,5
86,8,1,Czarny,4
87,8,1,Texas,4
88,8,1,Angus,5
89,8,1,Ranczo,3
90,8,1,Wołowina,4
91,8,2,Steakhouse,8
92,8,2,Grill,5
93,8,2,Dom,4
94,8,2,Klub,3
95,8,2,Ranczo,2
96,8,2,Bracia,2
97,9,1,Ramen,6
98,9,1,Makaron,4
99,9,1,Tokyo,4
100,9,1,Ichiban,3
101,9,1,Miso,3
102,9,1,Sake,3
103,9,2,Bar,5
104,9,2,Dom,4
105,9,2,Sklep,4
106,9,2,Kuchnia,3
107,9,2,Ya,2
108,9,2,Express,2
109,10,1,Pho,7
110,10,1,Sajgon,5
111,10,1,Hanoi,4
112,10,1,Banh,3
113,10,1,Wietnam,4
114,10,2,Dom,5
115,10,2,Kuchnia,4
116,10,2,Express,3
117,10,2,Pałac,2
118,10,2,Ogród,3
119,10,2,Sajgon,3
120,11,1,Taverna,5
121,11,1,Opa,4
122,11,1,Ateny,4
123,11,1,Santorini,3
124,11,1,Mythos,3
125,11,1,Zeus,3
126,11,2,Grecka,5
127,11,2,Taverna,4
128,11,2,Grill,4
129,11,2,Dom,3
130,11,2,Pałac,2
131,11,2,Wyspa,3
132,12,1,Seul,5
133,12,1,Gangnam,4
134,12,1,K-,4
135,12,1,Kimchi,3
136,12,1,Koreański,5
137,12,1,Bibim,3
138,12,2,BBQ,7
139,12,2,Grill,5
140,12,2,Dom,4
141,12,2,Kuchnia,3
142,12,2,Pałac,2
143,12,2,Ogród,2
144,13,1,La,5
145,13,1,El,5
146,13,1,Casa,4
147,13,1,Tapas,5
148,13,1,Barcelona,3
149,13,1,Sewilla,3
150,13,2,Tapas,6
151,13,2,Bar,5
152,13,2,Hiszpania,4
153,13,2,Madryt,3
154,13,2,Amigo,3
155,13,2,Słońce,2
156,14,1,Droga,4
157,14,1,Gwiazda,4
158,14,1,Klasyczny,4
159,14,1,Niebieski,3
160,14,1,Srebrny,3
161,14,1,Szczęśliwy,3
162,14,2,Diner,8
163,14,2,Cafe,4
164,14,2,Grill,4
165,14,2,Burger,3
166,14,2,Kuchnia,2
167,14,2,Róg,2
168,15,1,Ocean,5
169,15,1,Morze,4
170,15,1,Niebieskie,4
171,15,1,Świeże,4
172,15,1,Kapitan,3
173,15,1,Port,3
174,15,2,Ryby,5
175,15,2,Owoce Morza,6
176,15,2,Połów,4
177,15,2,Port,3
178,15,2,Grill,3
179,15,2,Dom,3
180,16,1,Słodka,5
181,16,1,Złota,4
182,16,1,Świeża,4
183,16,1,Poranna,3
184,16,1,Codzienna,3
185,16,1,Szczęśliwa,3
186,16,2,Piekarnia,6
187,16,2,Chleb,4
188,16,2,Cafe,5
189,16,2,Bułki,3
190,16,2,Kuchnia,2
191,16,2,Róg,2
192,17,1,Kawa,5
193,17,1,Espresso,4
194,17,1,Cafe,5
195,17,1,Ziarno,4
196,17,1,Poranna,3
197,17,1,Para,3
198,17,2,Dom,5
199,17,2,Bar,4
200,17,2,Sklep,4
201,17,2,Róg,3
202,17,2,Palarnia,3
203,17,2,Centrum,2
204,18,1,Dym,5
205,18,1,Texas,4
206,18,1,Palenisko,4
207,18,1,Płomień,3
208,18,1,Wielki,3
209,18,1,Hickory,4
210,18,2,BBQ,6
211,18,2,Wędzarnia,5
212,18,2,Grill,4
213,18,2,Dom,3
214,18,2,Palenisko,3
215,18,2,Szopa,2
216,19,1,Bejrut,4
217,19,1,Damaszek,3
218,19,1,Petra,3
219,19,1,Sultan,4
220,19,1,Oaza,4
221,19,1,Sahara,3
222,19,2,Kuchnia,5
223,19,2,Pałac,4
224,19,2,Dom,4
225,19,2,Grill,3
226,19,2,Express,2
227,19,2,Cafe,3
228,20,1,Stambuł,5
229,20,1,Ankara,3
230,20,1,Bosfor,4
231,20,1,Sultan,5
232,20,1,Osmański,4
233,20,2,Kuchnia,5
234,20,2,Dom,4
235,20,2,Grill,4
236,20,2,Pałac,3
237,20,2,Cafe,3
238,20,2,Express,2
239,21,1,Bawarski,5
240,21,1,Berlin,4
241,21,1,Oktoberfest,4
242,21,1,Zum,4
243,21,1,Stary,3
244,21,2,Piwiarna,4
245,21,2,Pub,5
246,21,2,Haus,4
247,21,2,Piwnica,3
248,21,2,Grill,3
249,21,2,Izba,2
250,22,1,Słodka,5
251,22,1,Lato,4
252,22,1,Włoska,4
253,22,1,Mrożona,3
254,22,1,Gelato,5
255,22,1,Krem,3
256,22,2,Lodziarnia,8
257,22,2,Gelato,5
258,22,2,Smaki,4
259,22,2,Raj,3
260,22,2,Przyjemność,2
261,22,2,Express,2
262,23,1,Elegancja,5
263,23,1,Prestiż,4
264,23,1,Królewska,4
265,23,1,Ekskluzywna,3
266,23,1,Signature,5
267,23,1,Gourmet,4
268,23,2,Restauracja,6
269,23,2,Kuchnia,5
270,23,2,Pałac,4
271,23,2,Salon,3
272,23,2,Maneż,2
273,23,2,Dwór,3
274,24,1,Świeża,5
275,24,1,Szybka,4
276,24,1,Prosta,4
277,24,1,Zdrowa,3
278,24,1,Smaczna,4
279,24,1,Mega,3
280,24,2,Kanapkownia,6
281,24,2,Sandwich,5
282,24,2,Bułki,4
283,24,2,Bar,4
284,24,2,Express,3
285,24,2,Przystanek,2
286,25,1,Bella,5
287,25,1,Gusto,3
288,25,1,Szybka,4
289,25,1,Napoli,5
290,25,1,Da,2
291,25,1,Primo,3
292,25,1,Grande,4
293,25,2,Pizza,3
294,25,2,Italia,5
295,25,2,Grasso,2
296,25,2,Vesuvio,3
297,25,2,Antonio,1
298,25,2,Mario,2
299,25,2,Giuseppe,2
300,26,1,Złoty,5
301,26,1,Czerwony,4
302,26,1,Szczęśliwy,4
303,26,1,Smok,5
304,26,1,Panda,4
305,26,1,Ming,3
306,26,2,Smok,4
307,26,2,Pałac,5
308,26,2,Ogród,3
309,26,2,Dom,4
310,26,2,Kuchnia,3
311,26,2,Express,2
